date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:46	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2028%20Jun%202022%2012:49:37%20GMT	https://e-commerce-b34262.ingress-erytho.ewp.live/robots.txt		(from )
18:19:46	195146/195146	---M-Z	200	added ('OK')	text/html	date:Tue,%2028%20Jun%202022%2011:02:44%20GMT	https://e-commerce-b34262.ingress-erytho.ewp.live/	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/index.html	(from )
18:19:47	45770/45770	---M-Z	200	added ('OK')	text/css	etag:W/%2262b0776b-b2ca%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=3.8.2	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/frontend.min3fd0.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:48	790/790	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2276174d52ddc4bb52e222c8cd6aff3be5%22	https://e-commerce-b34262.ingress-erytho.ewp.live/comments/feed/	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/comments/feed/index.html	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:48	896/896	---M-Z	200	added ('OK')	application/rss+xml	etag:W/%2276174d52ddc4bb52e222c8cd6aff3be5%22	https://e-commerce-b34262.ingress-erytho.ewp.live/feed/	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/feed/index.html	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:49	3304/3304	---M--	200	added ('OK')	font/woff	etag:%2262b0776a-ce8%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/fonts/astra.woff	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:50	88870/88870	---M-Z	200	added ('OK')	text/css	etag:W/%2262a9d844-15b26%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-includes/css/dist/block-library/style.minf049.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:51	4933/4933	---M-Z	200	added ('OK')	text/css	etag:W/%2262b0784b-1345%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.6.0	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style7ef2.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:53	211622/211622	---M-Z	200	added ('OK')	text/css	etag:W/%2262b0784b-33aa6%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.6.0	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style7ef2.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:54	22511/22511	---M-Z	200	added ('OK')	text/css	etag:W/%2262b07866-57ef%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.min.css?ver=1.7.4.2	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/plugins/wpforms-lite/assets/css/wpforms-base.mine945.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:55	17307/17307	---M-Z	200	added ('OK')	text/css	etag:W/%2262b0776a-439b%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min.css?ver=3.8.2	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-layout.min3fd0.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
18:19:56	5985/5985	---M-Z	200	added ('OK')	text/css	etag:W/%2262b0776a-1761%22	https://e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min.css?ver=3.8.2	C:/Users/Partha/Desktop/bikeci/bikeco/e-commerce-b34262.ingress-erytho.ewp.live/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-smallscreen.min3fd0.css	(from https://e-commerce-b34262.ingress-erytho.ewp.live/)
